asn,category,tags
193,Other,"Retail Stores, Wholesale, and E-commerce Sites|Clothing, Fashion, Luggage"
194,Academic/Edu,"Colleges, Universities, and Professional Schools|Not Validating RPKI ROV|Education and Research|Research and Development Organizations"
195,ISP,"Academic|Validating RPKI ROV|Colleges, Universities, and Professional Schools|Computer and Information Technology"
196,Government,"Air Travel|Validating RPKI ROV|Military, Defense, National Security, and International Affairs|Travel and Accommodation"
197,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration|Electronics and Computer Components|Manufacturing"
198,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
199,ISP,"Technology Consulting Services|Law, Business, and Consulting Services|Computer and Network Security|Computer and Information Technology"
200,ISP,Computer and Information Technology|Not Validating RPKI ROV|Computer and Network Security|Hosting and Cloud Provider
201,ISP,"Technology Consulting Services|Internet Service Provider (ISP)|Law, Business, and Consulting Services|Computer and Information Technology"
202,ISP,Internet Service Provider (ISP)|Hosting and Cloud Provider|Computer and Information Technology|Computer and Network Security
203,ISP,"Law, Business, and Consulting Services|Validating RPKI ROV|Internet Service Provider (ISP)|Service"
204,Other,"Computer and Information Technology|Print Media (Newspapers, Magazines, Books)|Media, Publishing, and Broadcasting"
205,Academic/Edu,"Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research|Academic"
206,Other,Software Development|Validating RPKI ROV|Computer and Information Technology
207,Other,Computer and Information Technology
208,Other,Manufacturing|Health Care Services
209,ISP,Eyeball|Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
210,Academic/Edu,Tranco 10k Host|Not Validating RPKI ROV|Education and Research|Research and Development Organizations
211,Other,"Personal Care and Lifestyle (Barber Shops, Nail Salons, Diet Centers, Laundry, etc)|Service"
393419,Enterprise,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)|Construction and Real Estate|Utilities (Excluding Internet Service)|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)"
213,ISP,Internet Service Provider (ISP)|Computer and Information Technology
214,Other,Manufacturing|Health Care Services
215,ISP,Computer and Information Technology|Internet Service Provider (ISP)
216,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
217,Academic/Edu,Tranco 10k Host|Not Validating RPKI ROV|Academic|Computer and Information Technology
218,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
219,Other,Manufacturing|Health Care Services
220,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
221,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
222,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
223,Government,Construction and Real Estate|Validating RPKI ROV|Service|Computer and Network Security
393432,Other,Not Validating RPKI ROV|Hospitals and Medical Centers|Health Care Services
225,Academic/Edu,"Academic|Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research"
226,Academic/Edu,"Education and Research|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools"
227,ISP,Internet Service Provider (ISP)|Computer and Information Technology
228,ISP,Government|Computer and Information Technology|Internet Service Provider (ISP)
229,Content/CDN,"Community Groups and Nonprofits|Validating RPKI ROV|Media, Publishing, and Broadcasting|Computer and Information Technology"
230,Content/CDN,"Hosting, Cloud Provider, Data Center, Server Colocation|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Media, Publishing, and Broadcasting|Computer and Information Technology"
231,Content/CDN,"Community Groups and Nonprofits|Computer and Information Technology|Hosting, Cloud Provider, Data Center, Server Colocation|Education and Research"
232,Content/CDN,"Media, Publishing, and Broadcasting|Software Development|Community Groups and Nonprofits|Computer and Information Technology"
233,Content/CDN,"Education and Research|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Hosting, Cloud Provider, Data Center, Server Colocation|Media, Publishing, and Broadcasting"
234,Other,Community Groups and Nonprofits
235,Content/CDN,"Software Development|Community Groups and Nonprofits|Education and Research|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)"
236,Content/CDN,"Computer and Information Technology|Media, Publishing, and Broadcasting|Education and Research|Software Development"
237,Eyeball,Eyeball|Validating RPKI ROV|Education and Research|Software Development
238,Content/CDN,"Media, Publishing, and Broadcasting|Computer and Information Technology|Software Development|Community Groups and Nonprofits"
393446,Other,Computer and Information Technology|Validating RPKI ROV
240,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
241,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
242,Government,"Government and Public Administration|Automotive and Transportation|Manufacturing|Military, Defense, National Security, and International Affairs"
243,Government,Government|Validating RPKI ROV|Electronics and Computer Components|Manufacturing
244,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
245,Other,Software Development|Computer and Information Technology
246,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
247,Other,"Service|Personal Care and Lifestyle (Barber Shops, Nail Salons, Diet Centers, Laundry, etc)"
393455,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
393456,Other,"Validating RPKI ROV|Retail Stores, Wholesale, and E-commerce Sites"
393458,Other,"Manufacturing|Metal, Glass, Wood, and Paper Manufacturing|Retail Stores, Wholesale, and E-commerce Sites"
393459,Other,Not Validating RPKI ROV|Service|Software Development|Computer and Information Technology
252,ISP,Computer and Information Technology|Internet Service Provider (ISP)
253,ISP,Computer and Information Technology|Internet Service Provider (ISP)
254,ISP,"Computer and Information Technology|Military, Defense, National Security, and International Affairs|Government and Public Administration|Internet Service Provider (ISP)"
255,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
256,Other,Manufacturing|Health Care Services
257,Other,Manufacturing|Validating RPKI ROV|Health Care Services
258,ISP,Computer and Information Technology|Internet Service Provider (ISP)
259,Academic/Edu,Research and Development Organizations|Education and Research
260,ISP,Anycast|Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
393469,Other,"Retail Stores, Wholesale, and E-commerce Sites|Health Care Services|Service|Hospitals and Medical Centers"
262,ISP,Computer and Information Technology|Internet Service Provider (ISP)
263,ISP,Internet Service Provider (ISP)|Computer and Information Technology
264,ISP,Software Development|Validating RPKI ROV|Computer and Network Security|Internet Service Provider (ISP)
265,Other,Computer and Information Technology|Technology Consulting Services
266,Other,"Clothing, Fashion, Luggage|Retail Stores, Wholesale, and E-commerce Sites"
267,ISP,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
268,Other,"Not Validating RPKI ROV|Retail Stores, Wholesale, and E-commerce Sites"
269,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology
270,Academic/Edu,Research and Development Organizations|Not Validating RPKI ROV|Education and Research
393478,Other,"Manufacturing|Chemical and Pharmaceutical Manufacturing|Retail Stores, Wholesale, and E-commerce Sites"
272,ISP,Computer and Information Technology|Internet Service Provider (ISP)
273,ISP,Government|Internet Service Provider (ISP)|Computer and Information Technology
274,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology
275,ISP,Internet Service Provider (ISP)|Validating RPKI ROV|Computer and Information Technology
276,Academic/Edu,Utilities (Excluding Internet Service)|Validating RPKI ROV|Academic|Education and Research
277,Other,Software Development|Computer and Information Technology
393485,Other,"Validating RPKI ROV|Merchant Wholesalers|Retail Stores, Wholesale, and E-commerce Sites|Clothing, Fashion, Luggage"
279,ISP,"Law, Business, and Consulting Services|Service|Computer and Network Security|Computer and Information Technology"
280,ISP,Internet Service Provider (ISP)|Computer and Information Technology
281,ISP,Computer and Network Security|Computer and Information Technology|Internet Service Provider (ISP)|Hosting and Cloud Provider
393489,ISP,Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
283,Other,"Validating RPKI ROV|Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers"
284,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Computer and Network Security
285,ISP,Internet Service Provider (ISP)|Computer and Information Technology
286,ISP,Carrier|Computer and Information Technology|Internet Service Provider (ISP)
287,Other,Manufacturing|Health Care Services
393495,Academic/Edu,"Education and Research|Colleges, Universities, and Professional Schools"
289,ISP,Computer and Information Technology|Internet Service Provider (ISP)
290,Other,"Retail Stores, Wholesale, and E-commerce Sites"
291,ISP,"Not Validating RPKI ROV|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Education and Research|Computer and Information Technology"
292,ISP,Validating RPKI ROV|Community Groups and Nonprofits|Internet Service Provider (ISP)|Computer and Information Technology
293,ISP,Carrier|Internet Service Provider (ISP)|Computer and Information Technology|Academic
393501,Content/CDN,"Hosting and Cloud Provider|Service|Software Development|Law, Business, and Consulting Services"
295,ISP,Computer and Information Technology|Internet Service Provider (ISP)
296,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
297,Eyeball,Eyeball|Validating RPKI ROV|Education and Research|Government
298,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
299,Academic/Edu,"Academic|Validating RPKI ROV|Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration"
300,ISP,Government|Internet Service Provider (ISP)|Computer and Information Technology
301,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
302,Academic/Edu,"Education and Research|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools"
303,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
304,ISP,Software Development|Community Groups and Nonprofits|Computer and Network Security|Internet Service Provider (ISP)
305,ISP,Internet Service Provider (ISP)|Computer and Information Technology
306,ISP,Carrier|Computer and Information Technology|Internet Service Provider (ISP)|Government
307,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
308,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
309,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
310,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
311,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
312,Government,"Government|Government and Public Administration|Military, Defense, National Security, and International Affairs"
313,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
314,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
315,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
316,Government,"Government|Government and Public Administration|Military, Defense, National Security, and International Affairs"
317,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
318,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
319,Government,"Government|Military, Defense, National Security, and International Affairs|Government and Public Administration"
320,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
321,Government,"Government|Military, Defense, National Security, and International Affairs|Government and Public Administration"
322,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
323,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
324,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
