probe_id,cc,asn,lon,lat
1004315,,132203,,
1004316,,132203,,
1004317,,132203,,
1004318,,45090,,
1004319,,45090,,
1004320,,45090,,
1004321,,45090,,
1004322,,45090,,
1004323,,45090,,
1004324,,45090,,
1004325,,45090,,
1004326,,45090,,
1004327,,45090,,
1004328,,45090,,
1004329,,45090,,
1004330,,45090,,
1004331,,45090,,
1004332,,45090,,
1004333,,45090,,
1004334,,45090,,
1004335,,45090,,
1004336,,45090,,
1004338,,45090,,
1004339,,45090,,
1004683,,37963,,
1004684,,9808,,
1004756,,4134,,
1004765,,4134,,
1004766,,4134,,
1004933,,4134,,
1005014,,4538,,
1005118,,4538,,
1005202,,132203,,
1005217,,4808,,
1005217,,200536,,
1005232,,138211,,
1005251,,4134,,
1005251,,4134,,
1005262,,45090,,
1005263,,45102,,
1005313,,200536,,
1005430,,133776,,
1005491,,200536,,
1005525,,37963,,
1005560,,45102,,
1005595,,37963,,
1005595,,37963,,
1005597,,132203,,
1005597,,132203,,
1005602,,132203,,
1005604,,45102,,
1005605,,132203,,
1005606,,45102,,
1005607,,45102,,
1005680,,4538,,
1005731,,45102,,
1005736,,37963,,
1005737,,45102,,
1005738,,37963,,
1005739,,37963,,
1005740,,45102,,
1005740,,45102,,
1005741,,45102,,
1005742,,45102,,
1005742,,45102,,
1005743,,45102,,
1005744,,45102,,
1005744,,45102,,
1005745,,45102,,
1005745,,45102,,
1005746,,45102,,
1005896,,4134,,
1005896,,4134,,
1005897,,4134,,
1005897,,4134,,
1005909,,37963,,
1006107,,4538,,
1006179,,4538,,
1006179,,45576,,
1006180,,45090,,
1006181,,45090,,
1006349,,9808,,
1006483,,45102,,
1006626,,132203,,
1006627,,132203,,
1006635,,4538,,
1006851,,45102,,
1006988,,37963,,
1006989,,37963,,
1006990,,37963,,
1006991,,37963,,
1006992,,37963,,
1006993,,37963,,
1006994,,37963,,
1006995,,37963,,
1006996,,37963,,
1006998,,37963,,
1006999,,37963,,
1007000,,37963,,
1007001,,37963,,
1007002,,37963,,
1007003,,37963,,
1007004,,37963,,
1007005,,37963,,
1007006,,37963,,
1007007,,37963,,
1007008,,37963,,
1007009,,37963,,
1007010,,37963,,
1007011,,37963,,
1007012,,37963,,
1007013,,37963,,
1007014,,37963,,
1007015,,37963,,
1007016,,37963,,
1007017,,37963,,
1007018,,37963,,
1007019,,37963,,
1007020,,37963,,
1007021,,37963,,
1007022,,37963,,
1007023,,37963,,
1007024,,37963,,
1007025,,37963,,
1007026,,37963,,
1007027,,37963,,
1007028,,37963,,
1007029,,37963,,
1007030,,37963,,
1007031,,37963,,
1007032,,37963,,
1007033,,37963,,
1007034,,37963,,
