src,dst,hege
24445,3356,0.08981942714819427
24445,6939,0.4532612079701121
24445,58453,0.9971129734723506
24445,9002,0.060033654480665166
24445,3356,0.3102835184818385
24489,6453,0.1875
24489,174,0.2916666666666667
24547,58453,0.9938833573035915
24547,3356,0.09067228755904928
24547,6939,0.4093804284887087
24547,58453,0.9978417644891295
24547,3356,0.2716021415815726
37936,6939,0.0625
37936,15412,0.10416666666666667
37936,174,0.10416666666666667
37936,9304,1.0
37936,3491,0.10909090909090911
37936,6939,0.4272727272727273
37936,15412,0.33636363636363636
37936,174,0.05454545454545454
37936,9304,0.8727272727272727
37937,174,0.08333333333333333
37937,3356,0.10416666666666667
37937,1299,0.10416666666666667
37942,1299,0.08472222222222221
37942,6939,0.5909090909090909
37963,6939,0.4383884219391877
37963,1299,0.09831212899974805
37965,58453,0.3435448770314344
37965,4637,0.6475783504810794
37965,3356,0.17131291121934544
37965,7468,0.6475783504810794
37969,6939,0.08333333333333333
37969,1299,0.16666666666666666
37969,6939,0.4090909090909091
37969,3320,0.18181818181818182
37970,3356,0.10416666666666667
37970,174,0.10416666666666667
37970,1299,0.10416666666666667
38019,58453,0.9775604142692752
38019,3356,0.08860759493670886
38019,6939,0.4378596087456847
38019,3356,0.23505555520305843
38019,58453,0.982010425170333
38027,3356,0.128125
38027,174,0.10282738095238096
38057,174,0.23263888888888887
38057,3320,0.13888888888888887
38255,6939,0.7196969696969696
38255,29632,0.25757575757575757
38255,8772,0.18939393939393936
38272,6939,1.0
38283,174,0.061704506363949085
38283,6939,0.40823327615780447
38283,1299,0.08363433092535259
38323,976,1.0
38323,18013,1.0
38323,6939,0.45454545454545453
38323,3491,1.0
38340,142132,1.0
38340,3491,1.0
38340,3356,0.0625
38345,3491,0.05454545454545454
38345,6939,0.3545454545454545
38345,6453,0.05454545454545454
38345,174,0.5377410468319561
38345,4641,0.08939393939393937
38345,4635,0.29999999999999993
38345,6453,0.05916666666666667
38345,3491,0.2508333333333333
38345,174,0.6554166666666666
38345,4641,0.09666666666666668
38358,174,0.0625
38364,174,0.0992063492063492
38364,58453,1.0
38364,3356,0.1994047619047619
38364,3356,0.13636363636363635
38364,6453,0.09090909090909091
38364,58453,1.0
38364,6939,0.4090909090909091
38365,3356,0.0514080660237688
38365,6939,0.4090909090909091
38365,6939,0.055114638447971785
38365,1299,0.08030990173847317
38367,6453,0.09090909090909091
38367,58453,1.0
38367,3356,0.13636363636363635
38367,6939,0.4090909090909091
38367,6939,0.0625
38367,3356,0.0625
38367,1299,0.0625
38375,1299,0.08333333333333333
38378,1299,0.10984848484848485
38378,3356,0.09280303030303032
38378,6939,0.08333333333333333
38379,2914,0.0625
38379,6939,0.0625
38379,131314,1.0
38379,3356,0.5625
38380,1299,0.08333333333333333
38381,6939,0.4090909090909091
38381,1299,0.08333333333333333
38564,3491,0.8333333333333334
38564,4515,0.9583333333333334
38834,9498,1.0
39753,150363,0.2755681818181818
39753,30962,0.125
39753,8849,0.09648164335664335
39753,206628,0.0625
39753,1299,0.10795454545454546
39753,35661,0.20454545454545456
39753,6939,0.5951704545454546
39753,38074,0.2755681818181818
39753,3356,0.07102272727272728
39753,41108,0.125
39753,53356,0.16531905594405594
42962,3491,0.12152777777777778
42962,2914,0.09545454545454546
42962,60068,1.0
42962,6939,0.5409090909090909
42962,6453,0.11363636363636363
42962,2914,0.2916666666666667
42962,4637,0.11458333333333333
42962,6939,0.08333333333333333
42962,62240,0.125
42962,20473,0.546875
42962,60068,0.28125
44421,917,0.125
44421,53667,0.28571428571428564
44421,174,0.21103896103896103
44421,20473,0.14393939393939392
44421,6939,0.6623376623376624
44421,60404,0.14285714285714282
44421,6939,0.6875
44421,53667,0.7083333333333334
44421,60404,0.08333333333333333
44446,6939,0.2727272727272727
44446,1299,0.5
44446,20473,1.0
44446,2914,0.45454545454545453
45061,1299,0.08333333333333333
45061,174,0.0625
45061,6939,0.4090909090909091
45062,6939,0.36363636363636365
45062,1299,0.13182261208576998
45062,6939,0.08013523391812866
45071,1299,0.08333333333333333
45075,1299,0.08406575520833333
45079,174,0.09090909090909091
45079,6939,0.38636363636363635
45079,1299,0.10470085470085472
45083,1299,0.10416666666666667
45083,174,0.09440104166666667
45083,3356,0.078125
45090,6939,0.5216970818265915
45090,1299,0.07584971589730828
45097,174,0.08333333333333333
45097,3356,0.20833333333333334
45097,58453,1.0
45101,58453,0.9166666666666666
45101,174,0.14583333333333334
45102,6453,0.11727640162780864
45102,6939,0.4819627295605333
45102,4775,0.11524129420491805
45102,7473,0.17669141656787504
45102,2914,0.10528344529717214
45102,3356,0.08899599980588314
45102,1299,0.07562238722156361
45102,3491,0.0674292686646839
45102,2914,0.2181871833004858
