asn,hostname_count,ip_count,country,org_name,org_tags
59009,77,3,CN,QingDao WangXin Telcom Corp. Limited,Computer and Information Technology|Software Development|Education and Research
149304,77,5,CN,"Shenzhen Qiyi Network Technology Co., Ltd.","Media, Publishing, and Broadcasting"
136959,76,33,CN,China Unicom,Internet Service Provider (ISP)|Not Validating RPKI ROV|Computer and Information Technology
17638,75,66,CN,TIANJIN Provincial Net of CT,Eyeball|Not Validating RPKI ROV|Computer and Information Technology
24372,75,53,CN,CERNET2 IX at Harbin Institute of Technology,Computer and Information Technology|Not Validating RPKI ROV
139887,75,9,CN,China Telecom,Computer and Information Technology|Phone Provider|Internet Service Provider (ISP)
132525,71,33,CN,China Mobile Communications Corporation,Eyeball|Validating RPKI ROV|Internet Service Provider (ISP)
140716,71,52,CN,China Unicom,"Internet Service Provider (ISP)|Phone Provider|Media, Publishing, and Broadcasting"
137753,70,13,CN,Beijing Jingdong Shangke Information Technology Co. Ltd.,Hosting and Cloud Provider|Computer and Information Technology
134773,69,48,CN,CHINANET Guangdong province Guangzhou MAN network,"Home ISP|Insurance Carriers and Agencies|Investment, Portfolio Management, Pensions and Funds"
4835,66,26,CN,China Telecom (Group),Tranco 10k Host|Not Validating RPKI ROV|Internet Service Provider (ISP)
138378,64,46,CN,China Education and Research Network (CERNET),"Education and Research|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools"
146966,63,52,CN,China Telecom,"Museums, Libraries, and Entertainment|Media, Publishing, and Broadcasting|Music and Video Industry"
138369,62,35,CN,China Education and Research Network (CERNET),"Education and Research|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools"
24376,59,4,CN,Yahoo Inc.,Internet Service Provider (ISP)|Computer and Information Technology
59078,59,38,CN,Yunify Technologies Inc.,Internet Service Provider (ISP)|Computer and Information Technology
24368,58,29,CN,CERNET2 IX at Xiamen University,Not Validating RPKI ROV|IPv6 only|Computer and Information Technology
134772,58,32,CN,CHINANET Guangdong province Dongguan MAN network,"Home ISP|Investment, Portfolio Management, Pensions and Funds|Finance and Insurance"
138373,58,51,CN,China Education and Research Network (CERNET),IPv6 only|Not Validating RPKI ROV|Computer and Information Technology
141771,57,51,CN,China Telecom,"Museums, Libraries, and Entertainment|Media, Publishing, and Broadcasting|Music and Video Industry"
24370,56,42,CN,CERNET2 IX at Dalian University of Technology,"Not Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research"
38345,56,27,CN,Internet Domain Name System Beijing Engineering Resrarch Center Ltd.,Internet Critical Infra|Not Validating RPKI ROV|Computer and Information Technology
56019,56,36,CN,"Beijing ShuJuJia Technology Co., Ltd.","Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance"
136192,54,9,CN,"Xiangyang, Hubei Province, P.R.China.",Internet Service Provider (ISP)|Computer and Information Technology
24151,53,73,CN,China Internet Network Infomation Center,Tranco 10k Host|Not Validating RPKI ROV|Computer and Information Technology
45061,51,53,CN,"Shanghai Information Network Co.,Ltd.",Server Hosting|Internet Service Provider (ISP)|Computer and Information Technology
140083,49,11,CN,China Telecom,Phone Provider|Computer and Information Technology|Internet Service Provider (ISP)
140903,49,27,CN,China Telecom,Phone Provider|Not Validating RPKI ROV|Computer and Information Technology
56044,48,38,CN,China Mobile Communications Corporation,Eyeball|Not Validating RPKI ROV|Computer and Information Technology
63614,48,22,CN,"A4, 5th Floor, Tower C, Triumph Plaza, Unit A, No 143,",Computer and Information Technology|Computer and Network Security|Internet Service Provider (ISP)
138393,48,33,CN,China Education and Research Network (CERNET),"IPv6 only|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools"
63695,46,36,CN,"WeiYi Network Technology Co., Ltd","Hosting and Cloud Provider|Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology"
24365,45,24,CN,CERNET2 IX at Fudan University,"Not Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research"
138438,45,24,CN,China Education and Research Network (CERNET),IPv6 only|Computer and Information Technology|Internet Service Provider (ISP)
18257,43,25,CN,"ChangZhou Bitcomm Software Technology Co., Limited",Computer and Information Technology|Internet Service Provider (ISP)
24416,43,12,CN,Beijing Primezone Technologies Inc.,"Validating RPKI ROV|Computer and Information Technology|Museums, Libraries, and Entertainment"
138371,43,29,CN,China Education and Research Network (CERNET),"Education and Research|Colleges, Universities, and Professional Schools"
138381,42,35,CN,China Education and Research Network (CERNET),IPv6 only|Not Validating RPKI ROV|Computer and Information Technology
23844,41,28,CN,Beijing Guanghuan Xinwang Digital,Phone Provider|Computer and Information Technology|Internet Service Provider (ISP)
138538,41,30,CN,"Ningbo Nanbian Tuoluo Xinxi Jishu Co., Ltd",Computer and Information Technology|Hosting and Cloud Provider
201674,41,2,CN,Wen ZhangYu,Community Groups and Nonprofits|Government and Public Administration|Anycast
23853,40,29,CN,"Shanghai Data Solution Co., Ltd.",Content|Internet Service Provider (ISP)|Hosting and Cloud Provider
139180,39,27,CN,"Shandong eshinton Network Technology Co., Ltd.","Computer and Information Technology|Education and Research|Media, Publishing, and Broadcasting"
17775,38,28,CN,shanghai science and technology network communication limited company,Eyeball|Not Validating RPKI ROV|Software Development
138374,38,42,CN,China Education and Research Network (CERNET),IPv6 only|Not Validating RPKI ROV|Internet Service Provider (ISP)
24351,37,11,CN,CERNET2 IX at Beijing University of Aeronautics and Astronautics,"Not Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools"
138991,36,16,CN,China Telecom,Internet Service Provider (ISP)|Phone Provider|Computer and Information Technology
131325,34,17,CN,CHINATELECOM JIANGSU province NANTONG MAN network,Internet Service Provider (ISP)|Computer and Information Technology
140527,34,9,CN,China Telecom,Server Hosting|Internet Service Provider (ISP)|Phone Provider
24406,33,54,CN,China Internet Network Infomation Center,"Anycast|Software Development|Media, Publishing, and Broadcasting"
63548,33,14,CN,LENOVO (BEIJING) Co.ltd,Electronics and Computer Components|Manufacturing|Phone Provider
