asn,degree,betweenness,eigenvector,pagerank,rank_degree,rank_betweenness,rank_eigenvector,rank_pagerank
58866,3.433830094086944e-05,1.6716993042688328e-08,9.755508888790028e-08,8.139917585116348e-06,22829,27984,79284,14408
17781,3.433830094086944e-05,1.6716993042688328e-08,9.755508888790028e-08,8.139917585116348e-06,22830,27985,79285,14409
59012,3.433830094086944e-05,1.6716993042688328e-08,9.755508888790028e-08,8.139917585116348e-06,22831,27986,79286,14410
38358,3.433830094086944e-05,1.6716993042688328e-08,9.755508888790028e-08,8.139917585116348e-06,22832,27987,79287,14411
45075,3.433830094086944e-05,1.6716993042688328e-08,9.755508888790028e-08,8.139917585116348e-06,22833,27988,79288,14412
135629,3.433830094086944e-05,9.644145077738136e-09,2.7531179727730234e-07,8.077536918523862e-06,22840,29798,76766,14516
24424,4.578440125449259e-05,4.551701561828462e-06,4.226069513508961e-05,7.929310957638499e-06,19219,10201,41369,14792
39753,0.00012590710344985464,1.100066928063763e-06,0.0002361219989313404,7.904916933912151e-06,11866,13526,16038,14853
24369,3.433830094086944e-05,0.0,4.985130066100866e-06,7.904728720356663e-06,22882,38850,63928,14854
24361,3.433830094086944e-05,0.0,4.985130066100866e-06,7.904728720356663e-06,22883,38851,63929,14855
63648,8.012270219536204e-05,0.0,0.00035773896937927696,7.869821112886867e-06,14560,38852,13971,14910
137702,3.433830094086944e-05,7.29443046076905e-09,1.7506252808897383e-05,7.857329056159744e-06,22897,30746,51690,14938
153911,2.2892200627246296e-05,1.1446231328335146e-05,5.10815906057869e-08,7.82168899553988e-06,31186,8075,80330,14991
215007,0.0001716915047043472,1.8953510635012872e-07,0.0005645167077495358,7.81143723186868e-06,10412,18993,12167,15004
44421,0.00012590710344985464,7.083467698589534e-07,0.0006376396930757079,7.775755287745283e-06,11870,14885,11469,15076
