asn,category,tags
214011,Enterprise,"Law, Business, and Consulting Services|Service"
205838,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Server Hosting|Content
205839,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Hosting and Cloud Provider
50208,Enterprise,"Computer and Information Technology|Service|Law, Business, and Consulting Services"
205876,ISP,Internet Service Provider (ISP)|Computer and Information Technology
42050,Enterprise,"Law, Business, and Consulting Services|Service|Museums, Libraries, and Entertainment|Software Development"
1101,ISP,Tor services|Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
1102,ISP,Education and Research|Validating RPKI ROV|Computer and Information Technology|Tor services
1103,ISP,Tor services|Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
1104,Eyeball,Eyeball|Validating RPKI ROV|Research and Development Organizations|Education and Research
1105,ISP,Education and Research|Internet Service Provider (ISP)|Computer and Information Technology
1106,ISP,Education and Research|Computer and Information Technology|Internet Service Provider (ISP)
1107,ISP,Internet Service Provider (ISP)|Education and Research|Computer and Information Technology
1108,ISP,Education and Research|Internet Service Provider (ISP)|Computer and Information Technology
50266,ISP,Eyeball|Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
205915,Other,Computer and Information Technology|Health Care Services
197727,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Phone Provider
197731,Content/CDN,Server Hosting|Hosting and Cloud Provider|Computer and Information Technology
1125,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Education and Research
1127,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Education and Research
1128,ISP,Eyeball|Validating RPKI ROV|Tranco 10k Host|Academic
1129,ISP,Internet Service Provider (ISP)|Education and Research|Computer and Information Technology
1130,ISP,Education and Research|Internet Service Provider (ISP)|Computer and Information Technology
1131,ISP,Education and Research|Computer and Information Technology|Internet Service Provider (ISP)
1132,ISP,Education and Research|Computer and Information Technology|Internet Service Provider (ISP)
42093,ISP,Server Hosting|Not Validating RPKI ROV|Hosting and Cloud Provider|Internet Service Provider (ISP)
1133,Eyeball,Eyeball|Validating RPKI ROV|Academic|Tor services
1134,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Phone Provider
1136,ISP,Eyeball|Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
